

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 8; fitness: 86.60465396891134; player life: 26.800000000000253; enemy life: 0; time: 435

RUN: run status: enemy: 8; fitness: 86.99788162462296; player life: 28.000000000000256; enemy life: 0; time: 331

RUN: run status: enemy: 8; fitness: 86.15606371931284; player life: 21.40000000000024; enemy life: 0; time: 397

RUN: run status: enemy: 8; fitness: 87.27118681455744; player life: 32.80000000000027; enemy life: 0; time: 407

RUN: run status: enemy: 8; fitness: 88.9735479947156; player life: 49.60000000000031; enemy life: 0; time: 398

RUN: run status: enemy: 8; fitness: 86.60465396891134; player life: 26.800000000000253; enemy life: 0; time: 435

RUN: run status: enemy: 8; fitness: 87.65788162462296; player life: 34.60000000000027; enemy life: 0; time: 331

RUN: run status: enemy: 8; fitness: 87.17185751001959; player life: 29.80000000000026; enemy life: 0; time: 333

RUN: run status: enemy: 8; fitness: 91.89667761151173; player life: 77.80000000000021; enemy life: 0; time: 359

RUN: run status: enemy: 8; fitness: 90.98660195700339; player life: 71.20000000000027; enemy life: 0; time: 461

RUN: run status: enemy: 8; fitness: 88.35105438238983; player life: 41.80000000000029; enemy life: 0; time: 340

RUN: run status: enemy: 8; fitness: 86.15858578874555; player life: 21.40000000000024; enemy life: 0; time: 396

RUN: run status: enemy: 8; fitness: 86.15606371931284; player life: 21.40000000000024; enemy life: 0; time: 397

RUN: run status: enemy: 8; fitness: 91.89667761151173; player life: 77.80000000000021; enemy life: 0; time: 359

RUN: run status: enemy: 8; fitness: 90.98660195700339; player life: 71.20000000000027; enemy life: 0; time: 461

RUN: run status: enemy: 8; fitness: 85.52465396891134; player life: 16.000000000000227; enemy life: 0; time: 435

RUN: run status: enemy: 8; fitness: 86.15858578874555; player life: 21.40000000000024; enemy life: 0; time: 396

RUN: run status: enemy: 8; fitness: 87.53185751001959; player life: 33.40000000000027; enemy life: 0; time: 333

RUN: run status: enemy: 8; fitness: 48.041575306970216; player life: 0; enemy life: 40.0; time: 387

RUN: run status: enemy: 8; fitness: 90.98660195700339; player life: 71.20000000000027; enemy life: 0; time: 461

RUN: run status: enemy: 8; fitness: 85.52465396891134; player life: 16.000000000000227; enemy life: 0; time: 435

RUN: run status: enemy: 8; fitness: 86.15858578874555; player life: 21.40000000000024; enemy life: 0; time: 396

RUN: run status: enemy: 8; fitness: 87.53185751001959; player life: 33.40000000000027; enemy life: 0; time: 333

RUN: run status: enemy: 8; fitness: 48.041575306970216; player life: 0; enemy life: 40.0; time: 387

RUN: run status: enemy: 8; fitness: 88.9735479947156; player life: 49.60000000000031; enemy life: 0; time: 398

RUN: run status: enemy: 8; fitness: 85.52465396891134; player life: 16.000000000000227; enemy life: 0; time: 435

RUN: run status: enemy: 8; fitness: 86.15858578874555; player life: 21.40000000000024; enemy life: 0; time: 396

RUN: run status: enemy: 8; fitness: 86.15606371931284; player life: 21.40000000000024; enemy life: 0; time: 397

RUN: run status: enemy: 8; fitness: 91.89667761151173; player life: 77.80000000000021; enemy life: 0; time: 359

RUN: run status: enemy: 8; fitness: 88.9735479947156; player life: 49.60000000000031; enemy life: 0; time: 398

RUN: run status: enemy: 8; fitness: 88.35105438238983; player life: 41.80000000000029; enemy life: 0; time: 340

RUN: run status: enemy: 8; fitness: 86.99788162462296; player life: 28.000000000000256; enemy life: 0; time: 331

RUN: run status: enemy: 8; fitness: 87.53185751001959; player life: 33.40000000000027; enemy life: 0; time: 333

RUN: run status: enemy: 8; fitness: 91.89667761151173; player life: 77.80000000000021; enemy life: 0; time: 359

RUN: run status: enemy: 8; fitness: 88.9735479947156; player life: 49.60000000000031; enemy life: 0; time: 398

RUN: run status: enemy: 8; fitness: 86.60465396891134; player life: 26.800000000000253; enemy life: 0; time: 435

RUN: run status: enemy: 8; fitness: 87.65788162462296; player life: 34.60000000000027; enemy life: 0; time: 331

RUN: run status: enemy: 8; fitness: 86.15606371931284; player life: 21.40000000000024; enemy life: 0; time: 397

RUN: run status: enemy: 8; fitness: 91.89667761151173; player life: 77.80000000000021; enemy life: 0; time: 359

RUN: run status: enemy: 8; fitness: 87.13935834262664; player life: 29.80000000000026; enemy life: 0; time: 344

RUN: run status: enemy: 8; fitness: 88.35105438238983; player life: 41.80000000000029; enemy life: 0; time: 340

RUN: run status: enemy: 8; fitness: 87.65788162462296; player life: 34.60000000000027; enemy life: 0; time: 331

RUN: run status: enemy: 8; fitness: 87.53185751001959; player life: 33.40000000000027; enemy life: 0; time: 333

RUN: run status: enemy: 8; fitness: 48.041575306970216; player life: 0; enemy life: 40.0; time: 387

RUN: run status: enemy: 8; fitness: 90.98660195700339; player life: 71.20000000000027; enemy life: 0; time: 461

RUN: run status: enemy: 8; fitness: 88.35105438238983; player life: 41.80000000000029; enemy life: 0; time: 340

RUN: run status: enemy: 8; fitness: 87.65788162462296; player life: 34.60000000000027; enemy life: 0; time: 331

RUN: run status: enemy: 8; fitness: 86.15606371931284; player life: 21.40000000000024; enemy life: 0; time: 397

RUN: run status: enemy: 8; fitness: 91.89667761151173; player life: 77.80000000000021; enemy life: 0; time: 359

RUN: run status: enemy: 8; fitness: 90.98660195700339; player life: 71.20000000000027; enemy life: 0; time: 461
