

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 325
RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 332

RUN: run status: enemy: 5; fitness: 5.060000000000029; player life: 40.600000000000286; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 246

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 317

RUN: run status: enemy: 5; fitness: 1.0; player life: 0; enemy life: 100; time: 595

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 217

RUN: run status: enemy: 2; fitness: 10.0; player life: 0; enemy life: 90.0; time: 206

RUN: run status: enemy: 5; fitness: 99.56000000000002; player life: 85.60000000000014; enemy life: 0; time: 200

RUN: run status: enemy: 8; fitness: 10.0; player life: 0; enemy life: 90.0; time: 318

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 332

RUN: run status: enemy: 5; fitness: 6.380000000000032; player life: 53.80000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 184

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 328

RUN: run status: enemy: 5; fitness: 1.0; player life: 0; enemy life: 100; time: 735

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 220

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 332

RUN: run status: enemy: 5; fitness: 6.620000000000033; player life: 56.20000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 199

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 332

RUN: run status: enemy: 5; fitness: 6.620000000000033; player life: 56.20000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 184

RUN: run status: enemy: 2; fitness: 37.0; player life: 0; enemy life: 60.0; time: 761

RUN: run status: enemy: 5; fitness: 1.0; player life: 0; enemy life: 100; time: 657

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 243

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 142

RUN: run status: enemy: 5; fitness: 6.5600000000000325; player life: 55.60000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 482

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 364

RUN: run status: enemy: 5; fitness: 9.740000000000013; player life: 87.40000000000012; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 301

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 335

RUN: run status: enemy: 5; fitness: 1.0; player life: 0; enemy life: 100; time: 551

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 191

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 318

RUN: run status: enemy: 5; fitness: 6.500000000000032; player life: 55.00000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 199

RUN: run status: enemy: 2; fitness: 96.4; player life: 54; enemy life: 0; time: 160

RUN: run status: enemy: 5; fitness: 9.080000000000018; player life: 80.80000000000018; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 93.98000000000003; player life: 29.80000000000026; enemy life: 0; time: 344

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 223

RUN: run status: enemy: 5; fitness: 9.200000000000017; player life: 82.00000000000017; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 301

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 222

RUN: run status: enemy: 5; fitness: 3.440000000000025; player life: 24.400000000000247; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 371

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 332

RUN: run status: enemy: 5; fitness: 5.9000000000000306; player life: 49.000000000000306; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 199

